ID,Land,Valuta,VS,Afbeelding,Lat,Lng
62,Iran,Iraanse Rial,IRR,iran,32.42791,53.68805
63,Ijsland,Ijslandse Kroon,ISK,ijsland,64.96305,-19.02084
64,Jersey,Jerseyse Pond,JEP,jersey,49.18682,-2.10657
65,Jamaica,Jamaicaanse Dollar,JMD,jamaica,18.10958,-77.29751
66,Jordanië,Jordaanse Dinar,JOD,jordanie,30.58516,36.23841
67,Japan,Japanse Yen,JPY,japan,36.20482,138.25292
68,Kenia,Keniaanse Shilling,KES,kenia,-0.02356,37.90619
69,Kirgizië,Kirgizische Som,KGS,kirgizie,41.20438,74.76610
70,Cambodja,Cambodjaanse Riel,KHR,cambodja,12.56568,104.99096
71,Comoren,Comorese Frank,KMF,comoren,-11.64550,43.33330
72,Noord-Korea,Noord-Koreaanse Won,KPW,noordkorea,40.33985,127.51009
73,Zuid-Korea,Zuid-Koreaanse Won,KRW,zuidkorea,35.90776,127.76692
74,Koeweit,Koeweit Dinar,KWD,koeweit,29.31166,47.48177
75,Caymaneilanden,Caymaneilanden Dollar,KYD,caymaneilanden,19.31330,-81.25460
76,Kazachstan,Kazachstan Tenge,KZT,kazachstan,48.01957,66.92368
77,Laos,Laos Kip,LAK,laos,19.85627,102.49550
78,Libanon,Lebanese Pond,LBP,libanon,33.85472,35.86228
79,Sri Langka,Sri Langkese Ruppee,LKR,srilanka,7.87305,80.77180
80,Liberia,Liberiaanse Dollar,LRD,liberia,6.42805,-9.42950
81,Lesotho,Lesotho Loti,LSL,lesotho,-29.60999,28.23361
82,Litouwen,Litouwse Litas,LTL,litouwen,55.16944,23.88127
83,Letland,Letse Lats,LVL,letland,56.87964,24.60319
84,Libië,Libische Dinar,LYD,libie,27.05678,14.52804
85,Marokko,Marokkaanse Dirham,MAD,marokko,31.79170,-7.09262
86,Moldavie,Moldavische Leu,MDL,moldavie,47.41163,28.36989
87,Madagascar,Madagascar Ariary,MGA,madagascar,-18.76695,46.86911
88,Macedonië,Macedonische Denar,MKD,macedonie,41.60863,21.74527
89,Myanmar,Myanmar Kyat,MMK,myanmar,21.91397,95.95622
90,Mongolië,Mongoolse Tugrik,MNT,mongolie,46.86250,103.84666
91,Mauritanië,Mauritaanse Ouguiya,MRO,mauritanie,21.00789,-10.94083
92,Malta,Maltese Lire,MTL,malta,35.93750,14.37542
93,Mexico,Mexicaanse Peso,MXN,mexico,23.63450,-102.55278
94,Mozambique,Mozambique Metical,MZN,mozambique,-18.66569,35.52956
95,Nigeria,Nigeriaanse Naira,NGN,nigeria,9.08200,8.67528
96,Noorwegen,Noorse Kroon,NOK,noorwegen,60.47202,8.46895
97,Nepal,Nepalese Rupee,NPR,nepal,28.39486,84.12401
98,Nieuw Zeeland,Nieuw Zeelandse Dollar,NZD,newzeeland,-40.90056,174.88597
99,Peru,Peruaanse Sol,PEN,peru,-9.18997,-75.01515
100,Filipijnen,Filipijnse Peso,PHP,filipijnen,12.87972,121.77402
101,Pakistan,Pakistaanse Rupee,PKR,pakistan,30.37532,69.34512
102,Polen,Poolse Zloty,PLN,polen,51.91944,19.14514
103,Paraguay,Paraguayaanse Guarani,PYG,paraguay,-23.44250,-58.44383
104,Qatar,Qatarese Rial,QAR,qatar,25.35483,51.18388
105,Roemenië,Roemeense Leu,RON,roemenie,45.94316,24.96676
106,Servië,Servische Dinar,RSD,servie,44.01652,21.00586
107,Rusland,Russische Roebel,RUB,rusland,61.52401,105.31876
108,Saoedi-Arabië,Saoedische Rial,SAR,saoedi,23.88594,45.07916
109,Singapore,Singapore Dollar,SGD,singapore,1.35208,103.81984
110,Zweden,Zweedse Kroon,SEK,zweden,60.12816,18.64350
111,Sierra Leone,Sierraleoonse Leone,SLL,sierraleone,8.46055,-11.77989
112,Somalië,Somalië Shilling,SOS,somalie,5.15215,46.19962
113,Suriname,Surinaamse Dollar,SRD,suriname,3.91931,-56.02778
114,El Salvador,El Salvador Colon,SVC,elsalvador,13.79419,-88.89653
115,Sirië,Sirische Pond,SYP,sirie,34.80208,38.99681
116,Thailand,Thaise Baht,THB,thailand,15.87003,100.99254
117,Turkmenistan,Turmenistaanse Manat,TMT,turkmenistan,38.96972,59.55628
118,Tunesië,Tunesische Dinar,TND,tunesie,33.88692,9.53750
119,Turkijë,Turkse Lira,TRY,turkije,38.96375,35.24332
120,Trinidad en Tobago,Trinidad en Tobago Dollar,TTD,trinidad,10.69180,-61.22250
121,Taiwan,Taiwanese Dollar,TWD,taiwan,23.69781,120.96052
122,Tanzania,Tanzaniaanse Shilling,TZS,tanzania,-6.36903,34.88882
123,Oekraine,Oekrainse Grivna,UAH,oekraine,48.37943,31.16558
124,Uganda,Ugandeese Shilling,UGX,uganda,1.37333,32.29028
125,Uruguay,Uruguayaanse Peso,UYU,uruguay,-32.52278,-55.76584
126,Oezbekistan,Oezbeekse Sum,UZS,oezbekistan,41.37749,64.58526
127,Venezuela,Venezolaanse Bolivar,VEF,venezuela,6.42375,-66.58973
128,Vietnam,Vietnamese Dong,VND,vietnam,14.05832,108.27720
129,Kameroen,Centraal Afrikaanse Frank,XAF,kameroen,7.36972,12.35472
130,Jemen,Jemen Rial,YER,jemen,15.55273,48.51639
131,Zuid-Afrika,Zuid-Afrikaanse Rand,ZAR,zuidafrika,-30.55948,22.93751
132,Zambia,Zambiaanse Kwacha,ZMR,zambia,-13.13390,27.84933
133,Zimbabwe,Zimbabwaanse Dollar,ZWL,zimbabwe,-19.01544,29.15486
134,Verenigde Staten,US Dollar,USD,vs,37.09024,-95.71289
